epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.6098,1.10017,0.61491,1,0.99634,0.000411523,0.000411523,0.000411523
2,98.8567,0.97025,0.63354,1,1.07756,0.000800859,0.000800859,0.000800859
3,148.477,0.96837,0.6087,1,1.19604,0.0011627,0.0011627,0.0011627
4,195.629,0.98554,0.64596,1,0.89803,0.00112625,0.00112625,0.00112625
5,247.139,0.98142,0.64596,1,1.26139,0.001085,0.001085,0.001085
6,296.674,0.95921,0.65839,1,0.7851,0.00104375,0.00104375,0.00104375
7,345.725,0.93476,0.6646,1,0.79779,0.0010025,0.0010025,0.0010025
8,394.16,0.92349,0.62112,1,1.0682,0.00096125,0.00096125,0.00096125
9,444.357,0.90509,0.67081,1,0.76953,0.00092,0.00092,0.00092
10,493.409,0.88338,0.70186,1,1.14583,0.00087875,0.00087875,0.00087875
11,542.794,0.9049,0.63975,1,0.73456,0.0008375,0.0008375,0.0008375
12,590.277,0.88699,0.67081,1,0.99707,0.00079625,0.00079625,0.00079625
13,639.763,0.85816,0.63975,1,0.98478,0.000755,0.000755,0.000755
14,689.125,0.86134,0.63975,1,0.88924,0.00071375,0.00071375,0.00071375
15,736.736,0.85223,0.61491,1,1.14819,0.0006725,0.0006725,0.0006725
16,786.392,0.84839,0.63975,1,0.96338,0.00063125,0.00063125,0.00063125
17,836.688,0.80049,0.67702,1,0.87134,0.00059,0.00059,0.00059
18,886.51,0.82159,0.65217,1,0.7242,0.00054875,0.00054875,0.00054875
19,936.022,0.81312,0.6646,1,0.90739,0.0005075,0.0005075,0.0005075
20,984.653,0.79324,0.64596,1,0.76156,0.00046625,0.00046625,0.00046625
21,1036.38,0.80195,0.65217,1,0.68084,0.000425,0.000425,0.000425
22,1084.91,0.78251,0.65839,1,0.68435,0.00038375,0.00038375,0.00038375
23,1133.44,0.76893,0.68323,1,0.69653,0.0003425,0.0003425,0.0003425
24,1181.07,0.76383,0.67081,1,0.77169,0.00030125,0.00030125,0.00030125
25,1229.74,0.73142,0.69565,1,0.92098,0.00026,0.00026,0.00026
26,1278.42,0.73836,0.65217,1,0.7819,0.00021875,0.00021875,0.00021875
27,1325.62,0.71745,0.67081,1,0.87166,0.0001775,0.0001775,0.0001775
28,1374.42,0.71239,0.68944,1,1.01815,0.00013625,0.00013625,0.00013625
29,1422.19,0.72615,0.68323,1,0.8256,9.5e-05,9.5e-05,9.5e-05
30,1469.91,0.69835,0.71429,1,0.70032,5.375e-05,5.375e-05,5.375e-05
