epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,309.758,1.0815,0.50307,1,1.49636,0.000411523,0.000411523,0.000411523
2,606.415,0.94033,0.5092,1,1.21513,0.000800859,0.000800859,0.000800859
3,907.582,0.9729,0.60736,1,1.91796,0.0011627,0.0011627,0.0011627
4,1197.08,0.95014,0.53988,1,1.36447,0.00112625,0.00112625,0.00112625
5,1484.44,0.94974,0.6135,1,1.79899,0.001085,0.001085,0.001085
6,1772.72,0.92742,0.54601,1,1.5176,0.00104375,0.00104375,0.00104375
7,2069.63,0.92239,0.32515,1,1.94302,0.0010025,0.0010025,0.0010025
8,2364.14,0.90477,0.54601,1,1.54899,0.00096125,0.00096125,0.00096125
9,2659.86,0.89329,0.58896,1,1.99435,0.00092,0.00092,0.00092
10,2954.66,0.84374,0.50307,1,2.447,0.00087875,0.00087875,0.00087875
11,3249.09,0.84023,0.56442,1,1.41868,0.0008375,0.0008375,0.0008375
12,3544.36,0.83026,0.49693,1,1.8055,0.00079625,0.00079625,0.00079625
13,3837.61,0.79949,0.47239,1,1.46421,0.000755,0.000755,0.000755
14,4132.97,0.79258,0.56442,1,1.37385,0.00071375,0.00071375,0.00071375
15,4426.56,0.77345,0.48466,1,1.63574,0.0006725,0.0006725,0.0006725
16,4722.27,0.73472,0.4908,1,2.10449,0.00063125,0.00063125,0.00063125
17,5015.67,0.7268,0.48466,1,2.03274,0.00059,0.00059,0.00059
18,5309.65,0.72821,0.49693,1,1.9809,0.00054875,0.00054875,0.00054875
19,5597.82,0.70302,0.51534,1,1.72299,0.0005075,0.0005075,0.0005075
20,5895.88,0.70829,0.52147,1,2.03532,0.00046625,0.00046625,0.00046625
21,6189.58,0.69349,0.51534,1,1.65583,0.000425,0.000425,0.000425
22,6481.34,0.66482,0.52761,1,1.46815,0.00038375,0.00038375,0.00038375
23,6775.84,0.62313,0.48466,1,1.83336,0.0003425,0.0003425,0.0003425
24,7068.57,0.62016,0.52761,1,1.72013,0.00030125,0.00030125,0.00030125
25,7358.84,0.63133,0.47853,1,1.87159,0.00026,0.00026,0.00026
26,7653.74,0.59187,0.52147,1,1.97581,0.00021875,0.00021875,0.00021875
27,7948.16,0.57337,0.49693,1,1.73601,0.0001775,0.0001775,0.0001775
28,8236.08,0.57747,0.52761,1,1.61693,0.00013625,0.00013625,0.00013625
29,8526.89,0.55721,0.49693,1,1.59459,9.5e-05,9.5e-05,9.5e-05
30,8820.72,0.53352,0.49693,1,1.94352,5.375e-05,5.375e-05,5.375e-05
