epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,475.752,3.21353,3.11547,4.01824,0.00512,0.89583,0.24432,0.05433,2.71361,3.2735,3.97782,0.000654762,0.000654762,0.000654762
2,891.839,2.70698,2.84203,3.38945,0.00548,0.95833,0.05007,0.01391,2.85498,3.14322,3.71641,0.00127782,0.00127782,0.00127782
3,1306.76,2.4017,2.66463,2.94276,0.08527,0.39062,0.07845,0.02683,2.0389,3.57949,2.87488,0.00185688,0.00185688,0.00185688
4,1716.89,2.2132,2.46907,2.69498,0.25381,0.30208,0.20224,0.06737,2.14643,3.55921,2.86594,0.001802,0.001802,0.001802
5,2172.84,2.08641,2.24337,2.55192,0.29581,0.67188,0.26708,0.10458,1.95641,2.67126,2.5765,0.001736,0.001736,0.001736
6,2606.6,1.95118,2.06966,2.41129,0.67336,0.625,0.61637,0.305,1.70487,2.03302,2.29729,0.00167,0.00167,0.00167
7,3035.03,1.85896,1.92942,2.31411,0.7632,0.48681,0.62219,0.33667,1.7452,1.92084,2.37226,0.001604,0.001604,0.001604
8,3471.87,1.78889,1.82209,2.23108,0.67249,0.60417,0.65183,0.33268,1.6588,1.91237,2.30374,0.001538,0.001538,0.001538
9,3909.2,1.69805,1.71255,2.15825,0.71784,0.66146,0.72066,0.39055,1.51276,1.78579,2.1887,0.001472,0.001472,0.001472
10,4330.65,1.6591,1.60182,2.09609,0.74843,0.56771,0.73379,0.42453,1.51064,1.6713,2.13161,0.001406,0.001406,0.001406
11,4750.53,1.63881,1.60143,2.08602,0.77293,0.71354,0.79207,0.44351,1.55774,1.61589,2.13374,0.00134,0.00134,0.00134
12,5171.69,1.59092,1.5371,2.03518,0.75414,0.76686,0.83257,0.45382,1.50546,1.31324,2.18536,0.001274,0.001274,0.001274
13,5600.26,1.56184,1.4947,2.00923,0.87471,0.72726,0.84302,0.4808,1.43743,1.36444,2.06481,0.001208,0.001208,0.001208
14,6029.69,1.53052,1.4695,1.98531,0.86767,0.70833,0.84792,0.52872,1.32253,1.24721,1.98808,0.001142,0.001142,0.001142
15,6448.95,1.51303,1.43418,1.9543,0.88034,0.78125,0.86313,0.52209,1.33482,1.27015,1.998,0.001076,0.001076,0.001076
16,6864.23,1.47424,1.40472,1.93731,0.86014,0.73958,0.84808,0.43134,1.58646,1.39975,2.2059,0.00101,0.00101,0.00101
17,7283.02,1.45795,1.33883,1.90712,0.87175,0.76042,0.86166,0.53702,1.2866,1.19024,1.97031,0.000944,0.000944,0.000944
18,7699.56,1.42659,1.34273,1.88186,0.8601,0.80052,0.88262,0.5643,1.27767,1.10029,1.94559,0.000878,0.000878,0.000878
19,8116.11,1.41304,1.33695,1.87829,0.92368,0.75646,0.88564,0.57159,1.24613,1.08554,1.89947,0.000812,0.000812,0.000812
20,8530.88,1.37167,1.26181,1.83894,0.90038,0.82812,0.89541,0.57597,1.25992,1.06236,1.91226,0.000746,0.000746,0.000746
21,8941.66,1.3519,1.2318,1.90157,0.92144,0.82292,0.9158,0.52191,1.36586,1.03675,1.99862,0.00068,0.00068,0.00068
22,9352.4,1.34355,1.09284,1.8797,0.91255,0.83333,0.92531,0.60276,1.23751,1.0094,1.87555,0.000614,0.000614,0.000614
23,9770.06,1.29856,1.05742,1.85087,0.8947,0.84896,0.93368,0.58591,1.21071,0.91374,1.8535,0.000548,0.000548,0.000548
24,10234.7,1.24488,1.00117,1.81184,0.8892,0.82812,0.92212,0.60082,1.31054,0.92877,1.92043,0.000482,0.000482,0.000482
25,10667.4,1.21974,0.97523,1.77322,0.88641,0.90104,0.94456,0.64118,1.14187,0.84338,1.76815,0.000416,0.000416,0.000416
26,11107.1,1.20818,0.94627,1.75052,0.8989,0.8799,0.94316,0.65928,1.1398,0.86356,1.7577,0.00035,0.00035,0.00035
27,11537.3,1.17543,0.92038,1.74855,0.90717,0.88021,0.95195,0.66906,1.07453,0.83147,1.71262,0.000284,0.000284,0.000284
28,11994.3,1.15594,0.88694,1.72743,0.89863,0.87728,0.9483,0.68097,1.07169,0.76807,1.70693,0.000218,0.000218,0.000218
29,12430,1.14645,0.8775,1.6993,0.9218,0.92091,0.95821,0.68474,1.04822,0.75773,1.68686,0.000152,0.000152,0.000152
30,12856.2,1.12483,0.8622,1.69009,0.94157,0.88021,0.95631,0.68842,1.061,0.76409,1.69836,8.6e-05,8.6e-05,8.6e-05
